id,name,shortName,aliases,tax_gram,tax_morphology,tax_group,clin_summary,clin_syndromes,clin_context,clin_pearls,res_intrinsic,res_acquired,res_stewardship,meta_relevance,category
staphylococcus_aureus,Staphylococcus aureus,S. aureus,Estafilococo dorado;SARM;SASM,positivo,cocos en racimos ,Micrococcaceae ,Patógeno versátil con alta capacidad de evasión inmune y formación de biofilm ,SSTI;neumonía;endocarditis;osteomielitis;sepsis ,Comunitario y hospitalario ,Causa principal de endocarditis sobre válvula nativa ;requiere descartar siembra hematógena ,,SARM (resistencia a meticilina) ;VISA;VRSA ,AWaRe: Vigilancia/Reserva ;uso restringido de vancomicina ,Alta,bacteria
streptococcus_pyogenes,Streptococcus pyogenes,S. pyogenes,EBHGA;Estreptococo grupo A,positivo,cocos en cadenas ,Streptococcaceae ,Principal causa bacteriana de faringoamigdalitis y SSTI necrotizantes ,Faringoamigdalitis;erisipela;fascitis necrotizante;shock tóxico ,Comunitario ,Sensibilidad universal a penicilina mantenida ;riesgo de secuelas no supurativas ,,Resistencia a macrólidos ,AWaRe: Acceso (Penicilina/Amoxicilina) ,Alta,bacteria
streptococcus_pneumoniae,Streptococcus pneumoniae,S. pneumoniae,Neumococo,positivo,diplococos lanceolados ,Streptococcaceae ,Líder en neumonía comunitaria y meningitis en adultos ,Neumonía (NAC);meningitis;otitis media;sepsis ,Comunitario ,CURB-65 para estratificar riesgo en NAC ;antígeno urinario útil ,,Resistencia a penicilina y cefalosporinas ,Prevención mediante vacunación ,Crítica,bacteria
streptococcus_agalactiae,Streptococcus agalactiae,S. agalactiae,EGB;Estreptococo grupo B,positivo,cocos en cadenas ,Streptococcaceae ,Principal patógeno en sepsis neonatal temprana ,Sepsis neonatal;meningitis;ITU en embarazadas ,Materno-fetal;embarazo ,Profilaxis intraparto reduce incidencia de sepsis temprana ,,Resistencia a macrólidos ,Tamizaje universal en embarazadas (35-37 sem) ,Alta,bacteria
enterococcus_faecalis,Enterococcus faecalis,E. faecalis,,positivo,cocos en cadenas/pares ,Enterococcaceae ,Patógeno oportunista común en tracto digestivo e ITUs complicadas ,ITU;endocarditis;infección intraabdominal ,Hospitalario y comunitario ,Asociado a procedimientos urológicos y manipulación biliar ,Cefalosporinas;clindamicina;TMP-SMX ,ERV (resistencia a vancomicina - menos común que en E. faecium) ,AWaRe: Vigilancia para vancomicina ,Alta,bacteria
enterococcus_faecium,Enterococcus faecium,E. faecium,,positivo,cocos en cadenas/pares ,Enterococcaceae ,Especie de Enterococcus con perfil de resistencia más agresivo ,Sepsis asociada a catéter;endocarditis;ITU nosocomial ,Hospitalario (UCI) ,Frecuente colonizador tras uso de cefalosporinas de amplio espectro ,Ampicilina;cefalosporinas ,ERV (alta prevalencia de resistencia a vancomicina) ,AWaRe: Reserva para Linezolid/Daptomicina ,Alta,bacteria
listeria_monocytogenes,Listeria monocytogenes,L. monocytogenes,,positivo,bacilos cortos ,Listeriaceae ,Patógeno intracelular transmitido por alimentos ,Meningitis en extremos de la vida;sepsis neonatal;romboencefalitis ,Embarazo;inmunocompromiso;ancianos ,Cefalosporinas son ineficaces (resistencia intrínseca) ,Cefalosporinas ,,Tratamiento de elección: Ampicilina ,Moderada,bacteria
clostridioides_difficile,Clostridioides difficile,C. difficile,C. diff,positivo,bacilos esporulados ,Peptostreptococcaceae ,Causa principal de diarrea asociada a antibióticos ,Colitis pseudomembranosa;diarrea asociada a salud ,Hospitalario ,Riesgo aumentado tras uso de clindamicina o quinolonas ,,Resistencia a metronidazol (emergente) ,Control ambiental y lavado de manos con agua/jabón ,Alta,bacteria
corynebacterium_diphtheriae,Corynebacterium diphtheriae,C. diphtheriae,Bacilo de Klebs-Löffler,positivo,bacilos pleomórficos (letras chinas) ,Corynebacteriaceae ,Productor de exotoxina causante de membranas faríngeas ,Difteria respiratoria;difteria cutánea ,Comunitario (zonas con baja vacunación) ,Requiere notificación inmediata y uso de antitoxina ,,,Vacunación sistemática (DTaP/Td) ,Baja/Moderada,bacteria
escherichia_coli,Escherichia coli,E. coli,,negativo,bacilos ,Enterobacteriaceae ,Patógeno gramnegativo más frecuente en ITUs y sepsis ,ITU;infección intraabdominal;sepsis neonatal;meningitis ,Comunitario y hospitalario ,Principal reservorio de BLEE en la comunidad ,,BLEE;KPC;resistencia a quinolonas ,AWaRe: Acceso (Nitrofurantoína) / Vigilancia (Quinolonas) ,Extrema,bacteria
